epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770117205,startup,imgA,5.47,66563604,1073741824,642,126,655000,20700000,12
1770117205,startup,imgB,62.45,56528732,1073741824,308,84,28700,61400,12
1770117208,startup,imgA,0.41,66710405,1073741824,642,126,655000,20700000,12
1770117208,startup,imgB,0.00,56528732,1073741824,600,126,28700,61400,12
1770117211,startup,imgA,0.01,66710405,1073741824,712,126,655000,20700000,12
1770117211,startup,imgB,0.00,56528732,1073741824,670,126,28700,61400,12
1770117214,startup,imgA,3.69,58028196,1073741824,712,126,655000,20700000,12
1770117214,startup,imgB,1.43,48024781,1073741824,670,126,28700,61400,12
1770117216,startup,imgA,0.00,58028196,1073741824,712,126,655000,20700000,12
1770117216,startup,imgB,0.00,48024781,1073741824,670,126,28700,61400,12
1770117219,startup,imgA,0.03,58028196,1073741824,782,126,655000,20700000,12
1770117219,startup,imgB,0.00,48024781,1073741824,740,126,28700,61400,12
1770117222,startup,imgA,0.00,58028196,1073741824,782,126,655000,20700000,12
1770117222,startup,imgB,0.00,48024781,1073741824,740,126,28700,61400,12
1770117225,startup,imgA,0.00,58028196,1073741824,782,126,655000,20700000,12
1770117225,startup,imgB,0.01,48024781,1073741824,740,126,28700,61400,12
1770117227,startup,imgA,0.00,58028196,1073741824,782,126,655000,20700000,12
1770117227,startup,imgB,0.00,48024781,1073741824,740,126,28700,61400,12
1770117230,startup,imgA,0.00,58028196,1073741824,782,126,655000,20700000,12
1770117230,startup,imgB,0.00,48024781,1073741824,740,126,28700,61400,12
1770117233,startup,imgA,0.00,58028196,1073741824,782,126,655000,20700000,12
1770117233,startup,imgB,0.00,48024781,1073741824,740,126,28700,61400,12
1770117235,startup,imgA,0.00,58237911,1073741824,852,126,655000,20700000,12
1770117235,startup,imgB,0.02,48465183,1073741824,740,126,28700,61400,12
1770117238,startup,imgA,0.01,58237911,1073741824,852,126,655000,20700000,12
